#-------------------------------------- OrbGen run: Fri Apr 11 14:11:53 2025  -------------------------------------------------
# yy-mm-ddThh:mm:ss.sss    dt(min)   IFA  F10.7 FB10.7   Ap   IDW  Rho(kg/m3)   Vn(km/s)    Ve(km/s)   MMWT  Tloc(K) Texo(K) LST(h) GLat(d)  GLon(d)  GAlt(km)   Va(km/s)  gam(d) gload(-)  qdot(W/m2) SRat(-) TRat(-)  KnInf(-)  MaInf(-)  CD(-)   CD/CD0     Orb(-)  ULat(d)     dS(km)     Hpe(km)    Hap(km)     H(km)    Torb(min)    mjd1950.0(d)
#        1                 2          3     4    5       6     7     8            9           10       11    12       13     14      15       16        17         18       19      20         21        22      23       24        25       26       27         28      29         30          31        32          33       34           35       
#------------------------------------------------------------------------------------------------------------------------------
2025-02-19T03:42:45.786  8.90000D+01  5. 136.00 132.04  13.93  7.  1.2144D-06  0.0000D+00  0.0000D+00 29.206  176.26 1027.32  2.657  52.257  -12.292     98.043  7.478116  -0.523    1.005  1.1927D+05  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     1.224  80.759  3.940059D+04   -228.683     94.581     84.738     83.873  27443.154696606
2025-02-19T03:43:45.786  9.00000D+01  5. 136.00 132.03  13.93  7.  2.5331D-06  0.0000D+00  0.0000D+00 29.503  186.41 1027.32  3.101  52.953   -5.891     93.748  7.417719  -0.654    1.013  1.6811D+05  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     1.236  84.880  3.984013D+04   -424.277     89.423     80.191     83.873  27443.155391050
2025-02-19T03:44:45.786  9.10000D+01  5. 136.00 132.03  13.94  7.  6.1279D-06  0.0000D+00  0.0000D+00 29.817  205.16 1027.32  3.549  53.266    0.589     88.005  7.281505  -0.892    1.066  2.4734D+05  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     1.247  88.954  4.027451D+04   -828.627     83.271     74.336     83.873  27443.156085495
2025-02-19T03:45:45.786  9.20000D+01  5. 136.00 132.03  13.94  7.  1.4223D-05  0.0000D+00  0.0000D+00 29.187  215.18 1037.18  3.987  53.203    6.906     79.698  6.898325  -1.408    1.259  3.2040D+05  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     1.258  92.904  4.069548D+04  -1787.552     74.973     66.051     83.873  27443.156779939
2025-02-19T03:46:33.584  9.27966D+01  5. 136.00 132.03  13.94  7.  4.9270D-05  0.0000D+00  0.0000D+00 28.940  224.06 1037.18  4.255  52.985   10.732     71.743  6.391735  -2.101    2.506  4.7437D+05  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     1.265  95.331  4.095246D+04  -2779.180     68.273     58.175     83.873  27443.157333154
2025-02-19T03:47:33.584  9.37966D+01  5. 136.00 132.03  13.95  7.  5.4658D-04  0.0000D+00  0.0000D+00 28.943  250.79 1037.18  4.574  52.550   15.259     54.094  3.474421  -5.535    7.578  2.5377D+05  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     1.272  98.018  4.126126D+04  -5565.210     48.178     40.683     36.121  27443.158027599
2025-02-19T03:48:33.584  9.47966D+01  5. 136.00 132.02  13.95  7.  6.9121D-03  0.0000D+00  0.0000D+00 28.943  237.01 1037.18  4.687  52.367   16.703     35.235  0.559027 -28.638    2.181  3.7590D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     1.268  96.344  4.136145D+04  -6347.522     25.616     21.890     30.267  27443.158722043
2025-02-19T03:49:33.584  9.57966D+01  5. 136.00 132.02  13.96  7.  4.8469D-02  0.0000D+00  0.0000D+00 28.943  210.31 1037.18  4.711  52.350   16.822     23.331  0.147719 -83.030    0.245  1.8366D+02  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     1.252  90.671  4.136998D+04  -6373.493     11.095      9.993     29.982  27443.159416488
2025-02-19T03:50:33.584  9.67966D+01  5. 136.00 132.02  13.96  7.  1.3655D-01  0.0000D+00  0.0000D+00 28.943  212.15 1037.18  4.728  52.351   16.824     16.862  0.082471 -89.795    0.057  5.3642D+01  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     1.250  90.043  4.137018D+04  -6374.028      3.871      3.523     29.928  27443.160110932
2025-02-19T03:51:33.584  9.77966D+01  5. 136.00 132.02  13.96  7.  2.6353D-01  0.0000D+00  0.0000D+00 28.943  213.21 1037.18  4.745  52.352   16.822     12.713  0.058580 -89.812    0.028  2.6708D+01  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     1.250  90.030  4.137019D+04  -6374.040     -0.451     -0.627     29.897  27443.160805377
2025-02-19T03:52:33.584  9.87966D+01  5. 136.00 132.02  13.97  7.  4.2227D-01  0.0000D+00  0.0000D+00 28.943  217.58 1037.18  4.761  52.353   16.820      9.614  0.046004 -89.813    0.014  1.6374D+01  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     1.250  90.023  4.137019D+04  -6374.049     -3.618     -3.726     29.875  27443.161499821
2025-02-19T03:52:33.584  9.87966D+01  5. 136.00 132.02  13.97  7.  4.2227D-01  0.0000D+00  0.0000D+00 28.943  217.58 1037.18  4.761  52.353   16.820      9.614  0.046004 -89.813    0.014  1.6374D+01  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     1.250  90.023  4.137019D+04  -6374.049     -3.618     -3.726     29.875  27443.161499821
