#-------------------------------------- OrbGen run: Fri Apr 11 14:11:53 2025  -------------------------------------------------
# yy-mm-ddThh:mm:ss.sss    dt(min)   IFA  F10.7 FB10.7   Ap   IDW  Rho(kg/m3)   Vn(km/s)    Ve(km/s)   MMWT  Tloc(K) Texo(K) LST(h) GLat(d)  GLon(d)  GAlt(km)   Va(km/s)  gam(d) gload(-)  qdot(W/m2) SRat(-) TRat(-)  KnInf(-)  MaInf(-)  CD(-)   CD/CD0     Orb(-)  ULat(d)     dS(km)     Hpe(km)    Hap(km)     H(km)    Torb(min)    mjd1950.0(d)
#        1                 2          3     4    5       6     7     8            9           10       11    12       13     14      15       16        17         18       19      20         21        22      23       24        25       26       27         28      29         30          31        32          33       34           35       
#------------------------------------------------------------------------------------------------------------------------------
2025-02-19T02:13:45.786  0.00000D+00  5. 136.00 132.22  13.56  7.  4.5608D-09  0.0000D+00  0.0000D+00 25.418  719.06 1077.62  1.955  50.215   -0.570    143.838  7.549260   0.144    1.002  7.5197D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.204  73.586  0.000000D+00    122.292    159.026    131.278     87.409  27443.092891050
2025-02-19T02:14:45.786  1.00000D+00  5. 136.00 132.22  13.56  7.  4.2098D-09  0.0000D+00  0.0000D+00 25.333  733.08 1075.06  2.368  51.528    5.369    145.500  7.547003   0.155    1.002  7.2180D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.216  77.725  4.420675D+02    121.382    158.457    132.459     87.403  27443.093585494
2025-02-19T02:15:45.786  2.00000D+00  5. 136.00 132.22  13.57  7.  3.8791D-09  0.0000D+00  0.0000D+00 25.217  744.18 1070.41  2.801  52.497   11.622    147.115  7.544825   0.165    1.002  6.9228D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.227  81.862  8.838052D+02    120.417    158.228    133.722     87.398  27443.094279939
2025-02-19T02:16:45.786  3.00000D+00  5. 136.00 132.22  13.57  7.  3.5693D-09  0.0000D+00  0.0000D+00 25.070  752.67 1063.93  3.250  53.094   18.106    148.667  7.542742   0.174    1.002  6.6351D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.239  85.998  1.325252D+03    119.453    158.296    135.059     87.393  27443.094974383
2025-02-19T02:17:45.786  4.00000D+00  5. 136.00 132.21  13.57  7.  3.2813D-09  0.0000D+00  0.0000D+00 24.493  640.09 1064.15  3.707  53.303   24.713    150.146  7.540769   0.182    1.002  6.3567D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.250  90.132  1.766448D+03    118.546    158.607    136.463     87.388  27443.095668828
2025-02-19T02:18:45.786  5.00000D+00  5. 136.00 132.21  13.58  7.  3.0206D-09  0.0000D+00  0.0000D+00 24.486  653.52 1064.17  4.165  53.116   31.321    151.542  7.538916   0.189    1.002  6.0946D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.262  94.264  2.207437D+03    117.747    159.113    137.926     87.384  27443.096363272
2025-02-19T02:19:45.786  6.00000D+00  5. 136.00 132.21  13.58  7.  2.7878D-09  0.0000D+00  0.0000D+00 24.455  666.60 1064.41  4.614  52.541   37.806    152.847  7.537193   0.194    1.002  5.8510D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.273  98.394  2.648263D+03    117.095    159.765    139.438     87.380  27443.097057717
2025-02-19T02:20:45.786  7.00000D+00  5. 136.00 132.21  13.59  7.  2.5794D-09  0.0000D+00  0.0000D+00 24.396  679.29 1064.92  5.047  51.595   44.060    154.057  7.535604   0.199    1.002  5.6244D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.285 102.522  3.088970D+03    116.625    160.519    140.991     87.376  27443.097752161
2025-02-19T02:21:45.786  8.00000D+00  5. 136.00 132.20  13.59  7.  2.3924D-09  0.0000D+00  0.0000D+00 24.309  691.57 1065.82  5.460  50.306   50.000    155.169  7.534152   0.202    1.002  5.4136D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.296 106.648  3.529601D+03    116.360    161.337    142.575     87.373  27443.098446606
2025-02-19T02:22:45.786  9.00000D+00  5. 136.00 132.20  13.59  7.  2.2244D-09  0.0000D+00  0.0000D+00 24.196  703.46 1067.24  5.848  48.706   55.575    156.182  7.532835   0.204    1.002  5.2173D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.308 110.771  3.970199D+03    116.313    162.184    144.180     87.369  27443.099141050
2025-02-19T02:23:45.786  1.00000D+01  5. 136.00 132.20  13.60  7.  2.0735D-09  0.0000D+00  0.0000D+00 24.058  714.97 1069.36  6.211  46.832   60.762    157.100  7.531651   0.205    1.002  5.0349D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.319 114.893  4.410800D+03    116.491    163.029    145.794     87.366  27443.099835494
2025-02-19T02:24:45.786  1.10000D+01  5. 136.00 132.20  13.60  7.  1.9379D-09  0.0000D+00  0.0000D+00 23.900  726.16 1072.35  6.547  44.718   65.559    157.926  7.530593   0.204    1.002  4.8654D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.331 119.013  4.851440D+03    116.890    163.845    147.409     87.363  27443.100529939
2025-02-19T02:25:45.786  1.20000D+01  5. 136.00 132.20  13.61  7.  1.8162D-09  0.0000D+00  0.0000D+00 23.728  737.07 1076.43  6.859  42.397   69.984    158.664  7.529653   0.202    1.002  4.7084D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.342 123.130  5.292151D+03    117.503    164.607    149.011     87.361  27443.101224383
2025-02-19T02:26:45.786  1.30000D+01  5. 136.00 132.19  13.61  7.  1.7070D-09  0.0000D+00  0.0000D+00 23.548  747.79 1081.77  7.148  39.899   74.064    159.323  7.528821   0.199    1.002  4.5632D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.353 127.246  5.732957D+03    118.313    165.295    150.592     87.358  27443.101918828
2025-02-19T02:27:45.786  1.40000D+01  5. 136.00 132.19  13.62  7.  1.6089D-09  0.0000D+00  0.0000D+00 23.369  758.38 1088.56  7.415  37.251   77.831    159.909  7.528084   0.194    1.001  4.4288D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.365 131.359  6.173881D+03    119.300    165.892    152.139     87.356  27443.102613272
2025-02-19T02:28:45.786  1.50000D+01  5. 136.00 132.19  13.62  7.  1.5208D-09  0.0000D+00  0.0000D+00 23.199  768.94 1096.94  7.665  34.476   81.319    160.433  7.527431   0.187    1.001  4.3047D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.376 135.471  6.614936D+03    120.440    166.384    153.641     87.354  27443.103307717
2025-02-19T02:29:45.786  1.60000D+01  5. 136.00 132.19  13.62  7.  1.4414D-09  0.0000D+00  0.0000D+00 23.048  779.54 1107.02  7.897  31.594   84.563    160.904  7.526848   0.180    1.001  4.1899D+03  11.007  35.616  2.13D+01  1.32D+01  2.3915  1.0000     0.388 139.580  7.056133D+03    121.704    166.763    155.089     87.352  27443.104002161
